year,GDP,K,L,D,AI,H,A,share_K,share_D,share_AI,share_H
2026,13807.795885340238,27806.499999999996,53.7204,19.891176470588235,81.94574468085106,29.594444444444445,36.38854725,0.3,0.25,0.25,0.2
2027,14411.554006408258,29798.792499999996,54.042722399999995,20.28235294117647,83.79148936170213,29.98888888888889,36.85704979584375,0.3,0.25,0.25,0.2
2028,15032.12986318607,31880.738162499994,54.36697873439999,20.673529411764704,85.6372340425532,30.383333333333336,37.33158431196524,0.3,0.25,0.25,0.2
2029,15670.24205596545,34056.371379812495,54.69318060680639,21.06470588235294,87.48297872340427,30.777777777777782,37.81222845998179,0.3,0.25,0.25,0.2
2030,16326.613164821,36329.90809190406,55.021339690447235,21.455882352941174,89.32872340425534,31.172222222222228,38.299060901404054,0.3,0.25,0.25,0.2
2031,17001.972500518565,38705.753956039734,55.35146772858992,21.84705882352941,91.17446808510641,31.566666666666674,38.79216131050963,0.3,0.25,0.25,0.2
2032,17697.05849550455,41188.51288406152,55.68357653496145,22.238235294117644,93.02021276595748,31.96111111111112,39.291610387382434,0.3,0.25,0.25,0.2
2033,18412.620812389392,43782.99596384429,56.01767799417122,22.62941176470588,94.86595744680855,32.35555555555556,39.79748987111998,0.3,0.25,0.25,0.2
2034,19149.422229752174,46494.23078221728,56.35378406213625,23.020588235294113,96.71170212765962,32.75000000000001,40.30988255321065,0.3,0.25,0.25,0.2
2035,19908.240351972185,49327.471167417054,56.691906766509064,23.411764705882348,98.55744680851069,33.14444444444445,40.828872291083236,0.3,0.25,0.25,0.2
