year,GDP,K,L,D,AI,H,A,share_K,share_D,share_AI,share_H
2026,13915.802426190401,28547.49957805633,53.7204,19.8529410747127,81.73829807669227,29.522222334985155,36.376871298401554,0.5999998291726045,0.19999986693199234,0.10000014776210787,0.10000015613329534
2027,14623.709790009163,31314.13688364664,54.042722399999995,20.205882135509643,83.37659610185852,29.844444637938714,36.83340102822109,0.5999999289788568,0.19999984873446577,0.10000011050482488,0.10000011178185263
2028,15345.326486867487,34205.273038801555,54.36697873439999,20.558823190896486,85.01489408922717,30.16666691579523,37.29566020405623,0.5999999981339339,0.19999984165971907,0.10000008317424737,0.10000007703209965
2029,16081.98770296204,37226.51038900775,54.69318060680639,20.91176425426519,86.65319205567897,30.488889177133256,37.76372073239184,0.6000000256923594,0.19999985209753637,0.10000006804976172,0.10000005416034251
2030,16834.93059849825,40383.70345723566,55.021339690447235,21.26470532837247,88.29149000754973,30.811111425048384,38.23765542073076,0.6000000407783637,0.1999998661402916,0.10000005750654932,0.10000003557479546
2031,17605.3192887257,43682.970227710415,55.35146772858992,21.617646415239182,89.92978794961141,31.133333661890255,38.71753799019155,0.6000000465178786,0.19999988282569767,0.10000005041383427,0.10000002024258953
2032,18394.26384698336,47130.703998598445,55.68357653496145,21.97058751650156,91.5680858856716,31.45555588951539,39.2034430870286,0.6000000447939527,0.19999990165080356,0.10000004607428471,0.10000000748095898
2033,19202.83501465534,50733.5857563066,56.01767799417122,22.323528632010287,93.20638381745978,31.777778115527635,39.69544629404802,0.6000000314863285,0.1999999202806438,0.10000004298530618,0.10000000524772143
2034,20032.075786390767,54498.59715225212,56.35378406213625,22.67646976316813,94.84468174763698,32.10000033954867,40.19362414282412,0.6000000149440173,0.19999994074487126,0.10000004182044199,0.10000000249066957
2035,20883.010670380194,58433.03401387723,56.691906766509064,23.029410911069494,96.48297967832522,32.42222256127254,40.69805412535697,0.599999995859823,0.19999996264024578,0.10000004218996073,0.09999999930997051
