year,K,D,AI,H,score,GDP_2035
2026,0.5999998291726045,0.19999986693199234,0.10000014776210787,0.10000015613329534,,
2027,0.5999999289788568,0.19999984873446577,0.10000011050482488,0.10000011178185263,,
2028,0.5999999981339339,0.19999984165971907,0.10000008317424737,0.10000007703209965,,
2029,0.6000000256923594,0.19999985209753637,0.10000006804976172,0.10000005416034251,,
2030,0.6000000407783637,0.1999998661402916,0.10000005750654932,0.10000003557479546,,
2031,0.6000000465178786,0.19999988282569767,0.10000005041383427,0.10000002024258953,,
2032,0.6000000447939527,0.19999990165080356,0.10000004607428471,0.10000000748095898,,
2033,0.6000000314863285,0.1999999202806438,0.10000004298530618,0.10000000524772143,,
2034,0.6000000149440173,0.19999994074487126,0.10000004182044199,0.10000000249066957,,
2035,0.599999995859823,0.19999996264024578,0.10000004218996073,0.09999999930997051,,20883.010670380194
